"zip","city","county","pop"
"23661","Hampton","Hampton City","12830"
"22209","Arlington","Arlington","12705"
"23150","Sandston","Henrico","12606"
"20194","Reston","Fairfax","12421"
"23875","Prince George","Prince George","12121"
"23662","Poquoson","Poquoson City","11990"
"23072","Hayes","Gloucester","11677"
"22835","Luray","Page","11636"
"24219","Big Stone Gap","Wise","11630"
"24202","Bristol","Bristol","11319"
"20166","Sterling","Loudoun","11304"
"24121","Moneta","Bedford","11070"
"23702","Portsmouth","Portsmouth City","11057"
"24477","Stuarts Draft","Augusta","10901"
"22968","Ruckersville","Greene","10810"
"24084","Dublin","Pulaski","10803"
"22657","Strasburg","Shenandoah","10402"
"22960","Orange","Orange","10347"
"24521","Amherst","Amherst","10196"
"22172","Triangle","Prince William","10101"
"22827","Elkton","Rockingham","10026"
"23120","Moseley","Chesterfield","10025"
"24588","Rustburg","Campbell","9982"
"22307","Alexandria","Fairfax","9962"
"23002","Amelia Court House","Amelia","9937"
"24504","Lynchburg","Lynchburg City","9935"
"22060","Fort Belvoir","Fairfax","9858"
"24343","Hillsville","Carroll","9791"
"23664","Hampton","Hampton City","9775"
"23117","Mineral","Louisa","9628"
"20181","Nokesville","Prince William","9445"
"23075","Highland Springs","Henrico","9384"
"24211","Abingdon","Washington","9344"
"22815","Broadway","Rockingham","9300"
"24522","Appomattox","Appomattox","9246"
"24266","Lebanon","Russell","9179"
"24293","Wise","Wise","9165"
"22712","Bealeton","Fauquier","9049"
"22812","Bridgewater","Rockingham","9026"
"22611","Berryville","Clarke","9005"
"22664","Woodstock","Shenandoah","8969"
"22942","Gordonsville","Orange","8915"
"24230","Coeburn","Wise","8815"
"24416","Buena Vista","Buena Vista City","8705"
"24605","Bluefield","Tazewell","8685"
"23314","Carrollton","Isle Of Wight","8593"
"22443","Colonial Beach","Westmoreland","8534"
"24171","Stuart","Patrick","8524"
"24013","Roanoke","Roanoke City","8473"
"23936","Dillwyn","Buckingham","8440"
"23510","Norfolk","Norfolk City","8433"
"24251","Gate City","Scott","8407"
"23024","Bumpass","Louisa","8381"
"24016","Roanoke","Roanoke City","8378"
"24531","Chatham","Pittsylvania","8347"
"23970","South Hill","Mecklenburg","8205"
"23523","Norfolk","Norfolk City","8075"
"24148","Ridgeway","Henry","7916"
"24175","Troutville","Botetourt","7901"
"22932","Crozet","Albemarle","7792"
"24550","Evington","Campbell","7772"
"24590","Scottsville","Albemarle","7745"
"24091","Floyd","Floyd","7564"
"22134","Quantico","Prince William","7534"
"24557","Gretna","Pittsylvania","7532"
"20180","Lovettsville","Loudoun","7467"
"24614","Grundy","Buchanan","7458"
"23168","Toano","James City","7257"
"23868","Lawrenceville","Brunswick","7231"
"24319","Chilhowie","Smyth","7194"
"24630","North Tazewell","Tazewell","7177"
"24609","Cedar Bluff","Tazewell","7172"
"20141","Round Hill","Loudoun","7064"
"22572","Warsaw","Richmond","7010"
"20115","Marshall","Fauquier","6911"
"24078","Collinsville","Henry","6858"
"24277","Pennington Gap","Lee","6854"
"23604","Fort Eustis","Newport News City","6831"
"23192","Montpelier","Hanover","6830"
"23842","Disputanta","Prince George","6784"
"24054","Axton","Henry","6740"
"23507","Norfolk","Norfolk City","6715"
"23140","Providence Forge","New Kent","6679"
"23141","Quinton","New Kent","6651"
"24370","Saltville","Smyth","6634"
"22824","Edinburg","Shenandoah","6622"
"23824","Blackstone","Nottoway","6572"
"23009","Aylett","King William","6541"
"24065","Boones Mill","Franklin","6536"
"23230","Richmond","Henrico","6505"
"22560","Tappahannock","Essex","6454"
"24101","Hardy","Bedford","6428"
"24273","Norton","Norton City","6366"
"24228","Clintwood","Dickenson","6294"
"24441","Grottoes","Rockingham","6228"
"24361","Meadowview","Washington","6227"
"23665","Hampton","Hampton City","6195"
"24263","Jonesville","Lee","6137"
"24586","Ringgold","Pittsylvania","6131"
"22520","Montross","Westmoreland","6101"
"24340","Glade Spring","Washington","6096"
"24558","Halifax","Halifax","6037"
"24360","Max Meadows","Wythe","6030"
"22973","Stanardsville","Greene","6009"
"24422","Clifton Forge","Clifton Forge City","5992"
"22939","Fishersville","Augusta","5983"
"24224","Castlewood","Russell","5973"
"23924","Chase City","Mecklenburg","5962"
"22851","Stanley","Page","5920"
"23487","Windsor","Isle Of Wight","5904"
"24244","Duffield","Scott","5886"
"24651","Tazewell","Tazewell","5650"
"22974","Troy","Fluvanna","5600"
"22727","Madison","Madison","5594"
"24641","Richlands","Tazewell","5551"
"24563","Hurt","Pittsylvania","5527"
"24368","Rural Retreat","Wythe","5420"
"23974","Victoria","Lunenburg","5418"
"23801","Fort Lee","Prince George","5409"
"24260","Honaker","Russell","5385"
"24279","Pound","Wise","5366"
"23089","Lanexa","New Kent","5366"
"22580","Woodford","Caroline","5291"
"23181","West Point","King William","5287"
"20106","Amissville","Rappahannock","5276"
"24482","Verona","Augusta","5254"
"22849","Shenandoah","Page","5212"
"23103","Manakin Sabot","Goochland","5197"
"22842","Mount Jackson","Shenandoah","5195"
"22821","Dayton","Rockingham","5176"
"22473","Heathsville","Northumberland","5168"
"22427","Bowling Green","Caroline","5156"
"23930","Crewe","Nottoway","5148"
"22904","Charlottesville","Charlottesville City","5095"
"22923","Barboursville","Orange","5089"
"24066","Buchanan","Botetourt","5074"
"24538","Concord","Campbell","5031"
"24088","Ferrum","Franklin","5025"
"24517","Altavista","Campbell","5007"
"24124","Narrows","Giles","5007"
"24134","Pearisburg","Giles","4993"
"24064","Blue Ridge","Botetourt","4970"
"24090","Fincastle","Botetourt","4934"
"22936","Earlysville","Albemarle","4895"
"22642","Linden","Warren","4859"
"22844","New Market","Shenandoah","4855"
"24577","Nathalie","Halifax","4808"
"23030","Charles City","Charles City","4712"
"23063","Goochland","Goochland","4621"
"23837","Courtland","Southampton","4608"
"24095","Goodview","Bedford","4600"
"23310","Cape Charles","Northampton","4549"
"20158","Hamilton","Loudoun","4448"
"23040","Cumberland","Cumberland","4444"
"23219","Richmond","Richmond City","4435"
"23517","Norfolk","Norfolk City","4421"
"24348","Independence","Grayson","4409"
"22645","Middletown","Frederick","4395"
"22840","Mc Gaheysville","Rockingham","4363"
"23124","New Kent","New Kent","4339"
"23922","Burkeville","Nottoway","4326"
"24087","Elliston","Roanoke","4323"
"23457","Virginia Beach","Virginia Beach City","4263"
"20119","Catlett","Fauquier","4235"
"24184","Wirtz","Franklin","4180"
"23437","Suffolk","Suffolk City","4175"
"23947","Keysville","Charlotte","4127"
"24549","Dry Fork","Pittsylvania","4059"
"23015","Beaverdam","Hanover","4047"
"22853","Timberville","Rockingham","4010"
"23603","Newport News","Newport News City","3966"
"23927","Clarksville","Mecklenburg","3951"
"24421","Churchville","Augusta","3931"
"24317","Cana","Carroll","3912"
"23421","Parksley","Accomack","3884"
"24574","Monroe","Amherst","3882"
"24554","Gladys","Campbell","3871"
"23420","Painter","Accomack","3856"
"23696","Seaford","York","3827"
"23690","Yorktown","York","3806"
"22947","Keswick","Albemarle","3793"
"22503","Lancaster","Lancaster","3770"
"23950","La Crosse","Mecklenburg","3733"
"24430","Craigsville","Augusta","3709"
"23890","Waverly","Sussex","3708"
"24381","Woodlawn","Carroll","3694"
"23958","Pamplin","Appomattox","3693"
"23086","King William","King William","3685"
"22213","Arlington","Arlington","3684"
"24637","Pounding Mill","Tazewell","3640"
"24486","Weyers Cave","Augusta","3640"
"22920","Afton","Nelson","3612"
"24127","New Castle","Craig","3600"
"23944","Kenbridge","Lunenburg","3585"
"24256","Haysi","Dickenson","3556"
"24315","Bland","Bland","3546"
"24149","Riner","Montgomery","3530"
"23350","Exmore","Northampton","3439"
"23891","Waverly","Sussex","3408"
"24440","Greenville","Augusta","3406"
"24528","Brookneal","Campbell","3347"
"23102","Maidens","Goochland","3345"
"24083","Daleville","Botetourt","3334"
"22656","Stephenson","Frederick","3331"
"24527","Blairs","Pittsylvania","3300"
"24104","Huddleston","Bedford","3298"
"23841","Dinwiddie","Dinwiddie","3281"
"22534","Partlow","Spotsylvania","3277"
"22807","Harrisonburg","Harrisonburg City","3216"
"22728","Midland","Fauquier","3182"
"20135","Bluemont","Loudoun","3177"
"24136","Pembroke","Giles","3159"
"24236","Damascus","Washington","3152"
"24589","Scottsburg","Halifax","3135"
"22625","Cross Junction","Frederick","3134"
"24330","Fries","Grayson","3114"
"24556","Goode","Bedford","3104"
"24639","Raven","Buchanan","3102"
"23920","Brodnax","Brunswick","3096"
"22567","Unionville","Orange","3079"
"23146","Rockville","Hanover","3079"
"23417","Onancock","Accomack","3075"
"22734","Remington","Fauquier","3067"
"22737","Rixeyville","Culpeper","3046"
"22482","Kilmarnock","Lancaster","3041"
"22735","Reva","Culpeper","2930"
"23917","Boydton","Mecklenburg","2917"
"23149","Saluda","Middlesex","2911"
"23336","Chincoteague Island","Accomack","2899"
"23840","Dewitt","Dinwiddie","2889"
"24142","Radford","Radford","2870"
"22841","Mount Crawford","Rockingham","2840"
"24656","Vansant","Buchanan","2812"
"23069","Hanover","Hanover","2803"
"22624","Clear Brook","Frederick","2777"
"23885","Sutherland","Dinwiddie","2773"
"24174","Thaxton","Bedford","2762"
"23872","Mc Kenney","Dinwiddie","2757"
"24445","Hot Springs","Bath","2735"
"24649","Swords Creek","Russell","2732"
"24053","Ararat","Patrick","2699"
"22846","Penn Laird","Rockingham","2698"
"24137","Penhook","Franklin","2674"
"24216","Appalachia","Wise","2668"
"23160","State Farm","Goochland","2661"
"24380","Willis","Floyd","2600"
"24620","Hurley","Buchanan","2594"
"24089","Fieldale","Henry","2575"
"22620","Boyce","Clarke","2536"
"23829","Capron","Southampton","2529"
"24631","Oakwood","Buchanan","2522"
"23923","Charlotte Court House","Charlotte","2499"
"24281","Rose Hill","Lee","2498"
"23083","Jetersville","Amelia","2484"
"22843","Mount Solon","Augusta","2476"
"24271","Nickelsville","Scott","2456"
"24555","Glasgow","Rockbridge","2453"
"24092","Glade Hill","Franklin","2450"
"22435","Callao","Northumberland","2440"
"23966","Rice","Prince Edward","2432"
"23062","Gloucester Point","Gloucester","2427"
"23919","Bracey","Mecklenburg","2420"
"22637","Gore","Frederick","2419"
"22644","Maurertown","Shenandoah","2413"
"24467","Mount Sidney","Augusta","2405"
"24133","Patrick Springs","Patrick","2401"
"22724","Jeffersonton","Culpeper","2399"
"24067","Callaway","Franklin","2398"
"20117","Middleburg","Loudoun","2386"
"24431","Crimora","Augusta","2361"
"22578","White Stone","Lancaster","2315"
"24248","Ewing","Lee","2304"
"23833","Church Road","Dinwiddie","2301"
"22539","Reedville","Northumberland","2294"
"22958","Nellysford","Nelson","2290"
"24435","Fairfield","Rockbridge","2282"
"22542","Rhoadesville","Orange","2279"
"24520","Alton","Halifax","2245"
"22514","Milford","Caroline","2243"
"20197","Waterford","Loudoun","2231"
"22937","Esmont","Albemarle","2220"
"23173","University Of Richmond","Richmond City","2219"
"22576","Weems","Lancaster","2193"
"23109","Mathews","Mathews","2178"
"20198","The Plains","Fauquier","2175"
"23937","Drakes Branch","Charlotte","2154"
"24529","Buffalo Junction","Mecklenburg","2143"
"22027","Dunn Loring","Fairfax","2124"
"24283","Saint Paul","Wise","2123"
"23888","Wakefield","Sussex","2120"
"23898","Zuni","Isle Of Wight","2104"
